bibkey	reference
Leschen1988a	Leschen, R A B and C E Carlton. “Immature stages of Endomychus biguttatus Say (Coleoptera: Endomychidae) with observations on the alimentary canal”. Journal of the Kansas Entomological Society. issn: 0022-8567 (1988): 321–327. Print.	
Leschen1988	Leschen, Richard A B and Robert T Allen. “Immature stages, life histories and feeding mechanisms of three Oxyporus spp. (Coleoptera: Staphylinidae: Oxyporinae)”. The Coleopterists’ Bulletin. issn: 0010-065X (1988): 321–333. Print.	
Leston1955	Leston, D. “Notes on the Ethiopian Pentatomoidea (Hem.): XVIII, the eggs of three Nigerian shielbugs, with a tentative summary of egg forms in Pentatomoidea”. Entomologist’s Monthly Magazine 91 (1955): 33–36. Print.	
etowski2015	Łętowski, Jacek, et al. “The morphology of the preimaginal stages of Squamapion elongatum (Germar, 1817) (Coleoptera, Curculionoidea, Apionidae) and notes on its biology”. ZooKeys 519 (2015). Print.	
Levesque1980	Lévesque, C, J G Pilon, and J Dubé. “Observations sur les oocytes de quelques Coleopteres Carabidae du Quebec”. Annals of the Entomological Society of Quebec (1980). Print.	
lewandowski2004biology	Lewandowski, Mariusz, Agnieszka Sznyk, and Andrzej Bednarek. “Biology and morphometry of Lycoriella ingenua (Diptera: Sciaridae)”. Biological Letters 41.1 (2004): 41–50. Print.	
Lewis1970	Lewis, W J. “Life history and anatomy of Microplitis croceipes (Hymenoptera: Braconidae), a parasite of Heliothis spp. (Lepidoptera: Noctuidae)”. Annals of the Entomological Society of America 63.1. issn: 0013-8746 (1970): 67–70. Print.	
Lewis1968	Lewis, W J and S Bradleigh Vinson. “Egg and larval development of Cardiochiles nigriceps”. Annals of the Entomological Society of America 61.3. issn: 0013-8746 (1968): 561–565. Print.	
Liang2003	Liang, Ai-Ping. “A new genus of Tropiduchidae (Hemiptera: Fulgoroidea) from China and Vietnam, with description of eggs”. The Florida Entomologist 86.3. issn: 0015-4040 (2003): 361–369. Print.	
Liang2003a	Liang, Ai-Ping and Guo-Mei Jiang. “Two new species of Tambinia Stål (Hemiptera: Tropiduchidae) from China, Laos and Vietnam, with description of eggs”. Journal of the Kansas Entomological Society. issn: 0022-8567 (2003): 509–517. Print.	
Liebherr2000	Liebherr, James K. “The unity of characters: ecological and morphological specialisation in larvae of Hawaiian platynine Carabidae (Coleoptera)”. Invertebrate Systematics 14.6. issn: 1447-2600 (2000): 931–940. Print.	
Liles1956	Liles, M Pferrer. “A study of the life history of the forked fungus beetle, Bolitotherus cornutus (Panzer) (Coleoptera: Tenebrionidae)”. Ohio Journal of Science 56.6. issn: 0030-0950 (1956): 329–337. Print.	
lima2013morphological	Lima, Alessandro Rodrigues, Alice Fumi Kumagai, and Fernando Correa Campos Neto. “Morphological and biological observations on the stick insect Tithonophasma tithonus (Gray, 1835) (Phasmida: Pseudophasmatidae: Pseudophasmatinae)”. Zootaxa 3700.4 (2013): 588–592. Print.	
Lin2005	Lin, Cheng-Shing. “Immature stages of four Bombycidae species of Taiwan”. Collection and Research 18 (2005): 25–31. Print.	
Linares2010	Linares, Mario Alfredo, Lilia Estela Neder, and Chris Dietrich. “Description of immature stages and life cycle of the treehopper, Guayaquila projecta”. Journal of Insect Science 10.199. issn: 1536-2442 (2010): 1–9. Print.	
Lincoln1961	Lincoln, D C R. “The oxygen and water requirements of the egg of Ocypus olens Müller (Staphylinidae, Coleoptera)”. Journal of Insect Physiology 7.3. issn: 0022-1910 (1961): 265–272. Print.	
linley1994ultrastructure	Linley, J R, A H Benton, and J F Day. “Ultrastructure of the eggs of seven flea species (Siphonaptera)”. Journal of Medical Entomology 31.6 (1994): 813–827. Print.	
Linley1993	Linley, J R, L P Lounibos, and J Conn. “A description and morphometric analysis of the eggs of four South American populations of Anopheles (Nyssorhynchus) aquasalis (Diptera: Culicidae)”. Mosquito Systematics 25 (1993): 198–214. Print.	
Linley1996	Linley, J R, et al. “A description and morphometric comparison of eggs from eight geographic populations of the South American malaria vector Anopheles (Nyssorhynchus) nuneztovari (Diptera: Culicidae)”. Journal of the American Mosquito Control Association 12.2. issn: 8756-971X (1996): 275–292. Print.	
Linley1989	Linley, John R. “Comparative fine structure of the eggs of Aedes albopictus, Ae. aegypti, and Ae. bahamensis (Diptera: Culicidae)”. Journal of Medical Entomology 26.5 (1989). Print.	
linley1989scanning	“Scanning electron microscopy of the egg of Aedes (Protomacleaya) triseriatus (Diptera: Culicidae)”. Journal of Medical Entomology 26.5 (1989): 474–478. Print.	
Linley1994	Linley, John R and G B Craig Jr. “Morphology of long-and short-day eggs of Aedes atropalpus and A. epactius (Diptera: Culicidae)”. Journal of Medical Entomology 31.6. issn: 0022-2585 (1994): 855–867. Print.	
linleyi1993description	Linley, John R, L P Lounibos, and J Conn. “A description and morphometric analysis of the eggs of four south american populations of”. Mosquito Systematics 25.3 (1993): 198–214. Print.	
Liu1990	Liu, J P, et al. Illustrated handbook of Chinese acridoid eggs. 1990. Print.	
Livingstone1976	Livingstone, David. “On the functional anatomy of the egg and the description of the nymphal instars of Dasytingis rudis Drake & Poor (Heteroptera: Tingidae), a sap sucker on Vitex negundo (Verbinaceae)”. Journal of Natural History 10.5. issn: 0022-2933 (1976): 529–544. Print.	
Livingstone1967	“On the functional anatomy of the egg of Tingis buddleiae Drake (Het.: Tingidae)”. Journal of the Zoological Society of India 19 (1967): 111–119. Print.	
Livingstone1987	Livingstone, David and M H S Yacoob. “Biosystematics of Tingidae on the basis of the biology and micromorphology of their eggs”. Proceedings of the Indian Academy of Sciences: Animal Sciences 96.5. issn: 0253-4118 (1987): 587–611. Print.	
Llacer2005	Llácer, Elena, et al. “Morphology and development of immature stages of Galeopsomyia fausta (Hymenoptera: Eulophidae: Tetrastichinae)”. Annals of the Entomological Society of America 98.5. issn: 0013-8746 (2005): 747–753. Print.	
Bousquets2007	Llórente-Bousquets, Jorge and Jimena Castro Gerardino. “Estudios en Sistemática de Dismorphiini (Lepidoptera: Pieridae) I: Morfología de huevos y su importancia taxonómica”. Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales 31 (2007): 145–164. Print.	
Londt1991	Londt, Jason G H. “Afrotropical Asilidae (Diptera) 21. Observations on the biology and immature stages of Damalis femoralis Ricardo, 1925 (Trigonomiminae)”. Annals of the Natal Museum 32 (1991): 149–162. Print.	
Lonsdale2006	Lonsdale, Owen and Stephen A Marshall. “Redefinition of the Clusiinae and Clusiodinae, description of the new subfamily Sobarocephalinae, revision of the genus Chaetoclusia and a description of Procerosoma gen. n. (Diptera: Clusiidae)”. European Journal of Entomology 103.1. issn: 1210-5759 (2006). Print.	
LopezO2010	Lopez O, Maurilio and Luis Cervantes P. “Life Histories of Ramosiana insignis (Blanchard) and Vulsirea violacea (F.) (Hemiptera-Heteroptera: Pentatomidae), with Descriptions of Immature Stages”. Proceedings of the Entomological Society of Washington 112.1. issn: 0013-8797 (2010): 81–96. Print.	
Lopez-Arroyo1999	López-Arroyo, J Isabel, Catherine A Tauber, and Maurice J Tauber. “Effects of prey on survival, development, and reproduction of trash-carrying chrysopids (Neuroptera: Ceraeochrysa)”. Environmental Entomology 28.6. issn: 0046-225X (1999): 1183–1188. Print.	
lounibos1997egg	Lounibos, L P, et al. “Egg Structures of Anopheles fluminensis and Anopheles shannoni”. Memórias do Instituto Oswaldo Cruz 92 (1997): 221–232. Print.	
Lourido2007	Lourido, Gilcélia, Neliton M Silva, and Catarina Motta. “Parâmetros biológicos e injúrias de Macrosoma tipulata Hübner (Lepidoptera: Hedylidae), em cupuaçuzeiro [Theobroma grandiflorum (Wild ex Spreng Schum)] no Amazonas”. Neotropical Entomology 36.1 (2007): 102–106. Print.	
Lu2002	Lu, Wenhua, Phetsamon Souphanya, and Michael E Montgomery. “Descriptions of immature stages of Scymnus (Neopullus) sinuanodulus Yu and Yao (Coleoptera: Coccinellidae) with notes on life history”. The Coleopterists Bulletin 56.1. issn: 0010-065X (2002): 127–141. Print.	
Lu2002a	“Descriptions of immature stages of Scymnus (Neopullus) sinuanodulus Yu and Yao (Coleoptera: Coccinellidae) with notes on life history”. The Coleopterists Bulletin 56.1. issn: 0010-065X (2002): 127–141. Print.	
lubbock1873monograph	Lubbock, John. Monograph of the Collembola and Thysanura. 1873. Print.	
Lucchi2015	Lucchi, Andrea and Elisabetta Rossi. “The egg-burster in the Asian planthopper Ricania speculum (Walker) (Hemiptera Ricaniidae)”. Annals of the Entomological Society of America. issn: 0013-8746 (2015): 1–6. Print.	
Luff1981	Luff, M L. “Diagnostic characters of the eggs of some Carabidae (Coleoptera)”. Entomologica Scandinavica Supplement 15 (1981): 317–327. Print.	
luginbill1953contribution	Luginbill Jr, P. “A contribution to the embryology of the May beetle”. Annals of the Entomological Society of America 46.4 (1953): 505–528. Print.	
Lundgren2011	Lundgren, Jonathan G. “Reproductive ecology of predaceous Heteroptera”. Biological Control 59.1. issn: 1049-9644 (2011): 37–52. Print.	
Ma2009	Ma, Na, Lijun Cai, and Baozhen Hua. “Comparative morphology of the eggs in some Panorpidae (Mecoptera) and their systematic implication”. Systematics and Biodiversity 7.4. issn: 1477-2000 (2009): 403–417. Print.	
Ma2009a	Ma, Na and Baozhen Hua. “Fine structure and formation of the eggshell in scorpionfly Panorpa liui Hua (Mecoptera: Panorpidae)”. Microscopy Research and Technique 72.7. issn: 1097-0029 (2009): 495–500. Print.	
Ma2002	Ma, Peter W K, Sonya Baird, and Sonny B Ramaswamy. “Morphology and formation of the eggshell in the tarnished plant bug, Lygus lineloaris (Palisot de Beauvois) (Hemiptera: Miridae)”. Arthropod Structure & Development 31.2. issn: 1467-8039 (2002): 131–146. Print.	
MacDonald2004	MacDonald, Kimberley E and Stanley Caveney. “External morphology and development of immature stages of Elachertus scutellatus (Hymenoptera: Eulophidae) in Florida: the first North American record”. The Florida Entomologist 87.4. issn: 0015-4040 (2004): 559–565. Print.	
MacGillivray1903	MacGillivray, Alexander Dyer. Aquatic Chrysomelidae and a table of the families of Coleopterous larvae. 1903. Print.	
machida2006evidence	Machida, Ryuichiro. “Evidence from embryology for reconstructing the relationships of hexapod basal clades”. Arthropod Systematics & Phylogeny 64.1 (2006): 95–104. Print.	
machida1981external	“External features of embryonic development of a jumping bristletail, Pedetontus unimaculatus Machida (Insecta, Thysanura, Machilidae)”. Journal of Morphology 168.3 (1981): 339–355. Print.	
machida1990early	Machida, Ryuichiro, Takayuki Nagashima, and Hiroshi Ando. “The early embryonic development of the jumping bristletail Pedetontus unimaculatus Machida (Hexapoda: Microcoryphia, Machilidae)”. Journal of Morphology 206.2 (1990): 181–195. Print.	
machida2004rearing	Machida, Ryuichiro and Ichiro Takahashi. “Rearing technique for proturans (Hexapoda: Protura)”. Pedobiologia 48.3 (2004): 227–229. Print.	
MacLean1967	MacLean, David B and Ronald L Giese. “The life history of the ambrosia beetle Xyloterinus politus (Coleoptera: Scolytidae)”. The Canadian Entomologist 99.3. issn: 1918-3240 (1967): 285–299. Print.	
Maddox1968	Maddox, D M. “Bionomics of an alligatorweed flea beetle, Agasicles sp. in Argentina”. Annals of the Entomological Society of America 61.5. issn: 0013-8746 (1968): 1299–1305. Print.	
maddox1979biology	Maddox, D M and A Mayfield. “Biology and life history of Amynothrips andersoni, a thrip for the biological control of alligatorweed”. Annals of the Entomological Society of America 72.1 (1979): 136–140. Print.	
Maeta1998	Maeta, Yasuo, Kimitaka Takahashi, and Norihide Shimada. “Host body size as a factor determining the egg complement of Strepsiptera, an insect parasite”. International Journal of Insect Morphology and Embryology 27.1. issn: 0020-7322 (1998): 27–37. Print.	
Mahmood1992	Mahmood, Farida and J Bruce Alexander. “Immature stages of Nemapalpus nearcticus (Diptera: Psychodidae)”. The Florida Entomologist. issn: 0015-4040 (1992): 171–178. Print.	
mahr1960normale	Mahr, Erhard. “Normale entwicklung, pseudofurchung und die bedeutung des furchungszentrums im ei des heimchens (Gryllus domesticus)”. Zeitschrift für Morphologie und Ökologie der Tiere 49.3 (1960): 263–311. Print.	
Majumder2013	Majumder, M Z R, et al. “The biology of flesh fly, Boettcherisca peregrina (Robineau-Desvoidy, 1830) (Diptera: Sarcophagidae)”. Bangladesh Journal of Zoology 40.2. issn: 2408-8455 (2013): 189–196. Print.	
Maldonado1997	Maldonado, V, Héctor J Finol, and J C Navarro. “Anopheles aquasalis eggs from two Venezuelan localities compared by scanning electron microscopy”. Memórias do Instituto Oswaldo Cruz 92. issn: 0074-0276 (1997): 487–491. Print.	
Malihi2015	Malihi, Yariv, Amnon Freidberg, and Dan Gerling. “Bionomics of the Tamarix leaf beetle, Cryptocephalus sinaita moricei Pic, 1908 (Chrysomelidae: Cryptocephalinae)”. Israel Journal of Entomology 44.45 (2015): 51–59. Print.	
Malipatil1977	Malipatil, M B. “Immature stages of Ontiscus Stal (Hemiptera: Lygaeidae: Cyminae)”. Australian Journal of Entomology 16.3. issn: 1440-6055 (1977): 321–326. Print.	
Malipatil1978	“Immature stages of some Myodochini of the Australian region (Hemiptera: Lygaeidae: Rhyparochrominae)”. Australian Journal of Zoology 26.3. issn: 1446-5698 (1978): 555–584. Print.	
Malipatil1975a	“Immature stages of some New Zealand Rhyparochrominae (Hemiptera: Lygaeidae)”. New Zealand Journal of Zoology 2.4. issn: 0301-4223 (1975): 381–388. Print.	
Malipatil1975	Malipatil, M B and R Kumar. “Biology and immature stages of some Queensland Pentatomomorpha (Hemiptera: Heteroptera)”. Australian Journal of Entomology 14.2. issn: 1440-6055 (1975): 113–128. Print.	
Malmqvist2004	Malmqvist, Björn, Peter H Adler, and Darius Strasevicius. “Testing hypotheses on egg number and size in black flies (Diptera: Simuliidae)”. Journal of Vector Ecology 29.2 (2004): 248–256. Print.	
Mamlayya	Mamlayya, A B, et al. “Life History and Diet Breadth of Apoderus tranquebaricus Fab. (Coleoptera: Attelabidae)”. Biological Forum 2 (2011): 46–48. Print.	
Manjunatha1993	Manjunatha, H B and H P Puttaraju. “The egg of Uzi fly, Exorista sorbillans (? E. Bombycis Louis) (Diptera: Tachinidae)”. Applied Entomology and Zoology 28.4. issn: 0003-6862 (1993): 574–577. Print.	
Maple1947	Maple, John D. The eggs and first instar larvae of Encyrtidae and their morphological adaptations for respiration. 1947. Print.	
